RaceDate,RaceTime,CourseName,RaceTitle,HorseName,B2LScore,RankBest,IsB2LTarget,Tier,DSLR,StrideDecay,BadDiscipline,GoodSpeed,IsLeader,SpeedWords,BetModes,Signals,ScannedAt
2026-08-21,19:57,Salisbury,19:57 SALISBURY,Digger One,4,1,True,Tier 1 EW,99,0.0,False,True,False,"led, prominent","EW,B2L,WIN","Speed(led, prominent)",2026-08-21 11:25:53.443000
2026-08-21,19:57,Salisbury,19:57 SALISBURY,Masterdream,4,2,True,Tier 1 EW,99,0.0,False,True,False,led,"EW,B2L,WIN",Speed(led),2026-08-21 11:25:53.447000
2026-08-21,19:57,Salisbury,19:57 SALISBURY,Moab,4,3,True,Tier 2 B2L,99,0.0,False,True,False,rallied,"EW,B2L-Consider",Speed(rallied),2026-08-21 11:25:53.450000
2026-08-21,19:57,Salisbury,19:57 SALISBURY,Panthere Noir,4,4,False,Pass,99,0.0,False,True,False,headway,,Speed(headway),2026-08-21 11:25:53.453000
2026-08-21,19:57,Salisbury,19:57 SALISBURY,A Daughters Love,2,5,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.457000
2026-08-21,19:57,Salisbury,19:57 SALISBURY,Basilette,-2,6,False,Pass,99,0.0,True,False,False,,,Discipline,2026-08-21 11:25:53.457000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Kimeko Glory,4,1,True,Tier 1 EW,99,0.0,False,True,False,"kept on, chased leaders, chased leader","EW,B2L,WIN","Speed(kept on, chased leaders, chased leader)",2026-08-21 11:25:53.460000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Marsh Benham,4,2,True,Tier 1 EW,99,0.0,False,True,False,prominent,"EW,B2L,WIN",Speed(prominent),2026-08-21 11:25:53.463000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Optimatum,4,3,True,Tier 2 B2L,99,0.0,False,True,False,stayed on,"EW,B2L-Consider",Speed(stayed on),2026-08-21 11:25:53.463000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Thiscouldbefun,4,4,False,Pass,99,0.0,False,True,False,"kept on, pushed along, prominent",,"Speed(kept on, pushed along, prominent)",2026-08-21 11:25:53.467000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Darvel,0,5,False,Pass,99,0.0,True,True,False,prominent,,"Speed(prominent), Discipline",2026-08-21 11:25:53.470000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Prodigal Son,0,6,False,Pass,99,0.0,True,True,False,"led, pushed along, prominent",,"Speed(led, pushed along, prominent), Discipline",2026-08-21 11:25:53.473000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Palazzo Persico,-2,7,False,Pass,99,0.0,True,False,False,,,Discipline,2026-08-21 11:25:53.477000
2026-08-21,17:27,Salisbury,17:27 SALISBURY,Prince Rasam,-2,8,False,Pass,99,0.0,True,False,False,,,Discipline,2026-08-21 11:25:53.477000
