RaceDate,RaceTime,CourseName,RaceTitle,HorseName,MasterScore,RankWorst,IsLayTarget,DSLR,StrideDecay,BadDiscipline,IsLeader,Reasons,ScannedAt
2026-08-21,17:47,Killarney,17:47 KILLARNEY,Do For Love,0,1,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.843000
2026-08-21,17:47,Killarney,17:47 KILLARNEY,Elmakaya,0,2,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.847000
2026-08-21,17:47,Killarney,17:47 KILLARNEY,Iamimmaculate,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.850000
2026-08-21,17:47,Killarney,17:47 KILLARNEY,Kirkland Sioux,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.853000
2026-08-21,17:47,Killarney,17:47 KILLARNEY,Manton Bay,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.857000
2026-08-21,17:47,Killarney,17:47 KILLARNEY,Mayflower,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.860000
2026-08-21,17:47,Killarney,17:47 KILLARNEY,Oscar Nominee,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.860000
2026-08-21,17:47,Killarney,17:47 KILLARNEY,Totally Puzzled,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.860000
2026-08-21,17:20,York,17:20 YORK,Bearin Up,-2,1,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:27.867000
2026-08-21,17:20,York,17:20 YORK,Lady Dora Mae,-2,2,True,99,0.0,True,False,Discipline Issue (dwelt/hung),2026-08-21 11:20:27.870000
2026-08-21,17:20,York,17:20 YORK,Bint Al Daar,0,3,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.870000
2026-08-21,17:20,York,17:20 YORK,Callianassa,0,4,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.873000
2026-08-21,17:20,York,17:20 YORK,Dream Camp,0,5,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.877000
2026-08-21,17:20,York,17:20 YORK,Dunkeld Dreamer,0,6,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.880000
2026-08-21,17:20,York,17:20 YORK,Electrifarhh,0,7,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.880000
2026-08-21,17:20,York,17:20 YORK,Folk Pageant,0,8,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.880000
2026-08-21,17:20,York,17:20 YORK,Food For Thought,0,9,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.883000
2026-08-21,17:20,York,17:20 YORK,Janey Mackers,0,10,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.887000
2026-08-21,17:20,York,17:20 YORK,Naga,0,11,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.890000
2026-08-21,17:20,York,17:20 YORK,Patagonia Girl,0,12,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.893000
2026-08-21,17:20,York,17:20 YORK,Pendella,0,13,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.897000
2026-08-21,17:20,York,17:20 YORK,Plaid,0,14,False,99,0.0,False,False,Standard Form,2026-08-21 11:20:27.900000
