race_date,system_name,bets,wins,places,staked,ew_pl,ew_pl_sp,strike_pct,roi_pct,roi_sp_pct,cum_ew_pl,group_type,sub_system
2026-09-15,AI System,3,3,3,6.0,25.63,30.0,100.0,427.2,500.0,25.63,system,
2026-09-15,Speed & Stride,2,2,2,4.0,5.42,5.63,100.0,135.5,140.8,31.05,system,
2026-09-15,Tips,3,1,1,6.0,1.0,4.75,33.3,16.7,79.2,32.05,system,
2026-09-16,AI System,5,5,5,10.0,18.91,15.01,100.0,189.1,150.1,50.96,system,
2026-09-16,Speed & Stride,2,2,2,4.0,10.629999999999999,10.620000000000001,100.0,265.8,265.5,61.59,system,
2026-09-16,Tips,1,0,0,2.0,-2.0,-2.0,0.0,-100.0,-100.0,59.59,system,
2026-09-17,AI System,2,2,2,4.0,6.25,7.5,100.0,156.2,187.5,65.84,system,
2026-09-17,Speed & Stride,2,2,2,4.0,4.06,3.94,100.0,101.5,98.5,69.9,system,
2026-09-17,Tips,3,3,3,6.0,19.06,17.69,100.0,317.7,294.8,88.96,system,
2026-09-18,AI System,11,8,11,22.0,61.29,60.29,72.7,278.6,274.0,150.25,system,
2026-09-18,Speed & Stride,8,2,7,16.0,60.75,59.68,25.0,379.7,373.0,211.0,system,
2026-09-18,Tips,9,2,5,18.0,61.12,60.0,22.2,339.6,333.3,272.12,system,
2026-09-19,AI System,31,3,9,62.0,-28.43,-27.62,9.7,-45.9,-44.5,243.69,system,
2026-09-19,Exchange EW Edge,11,2,5,22.0,3.9399999999999995,0.14000000000000012,18.2,17.9,0.6,247.63,system,
2026-09-19,Speed & Stride,54,7,26,108.0,-13.770000000000001,-9.41,13.0,-12.8,-8.7,233.86,system,
2026-09-19,Tips,105,13,43,210.0,-45.7,-8.58,12.4,-21.8,-4.1,188.16,system,
2026-09-15,,1,1,1,2.0,5.0,8.75,100.0,250.0,437.5,5.0,tip_category,⭐ Core Value Qualifier (-14lb)
2026-09-15,,2,0,0,4.0,-4.0,-4.0,0.0,-100.0,-100.0,1.0,tip_category,⭐ Soft Value Qualifier
2026-09-16,,1,0,0,2.0,-2.0,-2.0,0.0,-100.0,-100.0,-1.0,tip_category,⭐ Soft Qualifier
2026-09-17,,1,1,1,2.0,3.44,2.19,100.0,172.0,109.5,2.44,tip_category,⭐ Below Win Mark (-4lb)
2026-09-17,,1,1,1,2.0,15.0,15.0,100.0,750.0,750.0,17.44,tip_category,⭐ Big Weight Drop (-8lb)
2026-09-17,,1,1,1,2.0,0.62,0.5,100.0,31.0,25.0,18.06,tip_category,⭐ Falling Mark Qualifier
2026-09-18,,1,1,1,2.0,50.0,50.0,100.0,2500.0,2500.0,68.06,tip_category,⚡ Featherweight Drop (-19lb)
2026-09-18,,1,0,1,2.0,3.5,3.0,0.0,175.0,150.0,71.56,tip_category,⭐ Below Win Mark (-11lb)
2026-09-18,,1,0,1,2.0,4.5,4.5,0.0,225.0,225.0,76.06,tip_category,⭐ Core Value Qualifier (-10lb)
2026-09-18,,1,0,1,2.0,3.0,3.0,0.0,150.0,150.0,79.06,tip_category,⭐ Core Value Qualifier (-1lb)
2026-09-18,,1,1,1,2.0,8.12,7.5,100.0,406.0,375.0,87.18,tip_category,⭐ Exact Last Win Mark (0lb)
2026-09-18,,4,0,0,8.0,-8.0,-8.0,0.0,-100.0,-100.0,79.18,tip_category,⭐ Soft Value Qualifier
2026-09-19,,26,6,12,52.0,20.64,32.019999999999996,23.1,39.7,61.6,99.82,tip_category,⚡ Big Weight Drop
2026-09-19,,2,0,0,4.0,-4.0,-4.0,0.0,-100.0,-100.0,95.82,tip_category,⭐ Soft Qualifier
2026-09-19,,58,6,26,116.0,-34.42,-12.3,10.3,-29.7,-10.6,61.4,tip_category,⭐ Value Qualifier
2026-09-19,,19,1,5,38.0,-27.92,-24.3,5.3,-73.5,-63.9,33.48,tip_category,🔔 Placed at Trip
