year,category,bets,wins,places,ew_pl_sp,bets_bsp,ew_pl_bsp,roi_sp_pct,roi_bsp_pct
2021,Big Weight Drop,5837,722,1902,-1407.8925,5827,701.7163259412836,-12.1,6.0
2021,Placed at Trip,545,77,224,-299.331,543,-190.67548236611967,-27.5,-17.6
2021,Value Qualifier,9141,1604,3825,-3095.0325,9121,-985.9264467075147,-16.9,-5.4
2022,Big Weight Drop,7912,956,2570,-1938.5949999999998,7900,1591.9197596978452,-12.3,10.1
2022,Placed at Trip,1457,239,600,-590.8675,1455,-261.0135846108556,-20.3,-9.0
2022,Value Qualifier,12482,2166,5217,-3956.5409999999997,12467,-467.17172535721875,-15.8,-1.9
2023,Big Weight Drop,7989,972,2585,-2193.8655,7981,1149.7413440034607,-13.7,7.2
2023,Placed at Trip,1478,249,589,-511.09499999999997,1477,-114.96818152788985,-17.3,-3.9
2023,Value Qualifier,13670,2163,5476,-4662.2885,13647,-432.53417794486097,-17.1,-1.6
2024,Big Weight Drop,8182,923,2541,-2300.8775,8147,1082.9760790520002,-14.1,6.6
2024,Placed at Trip,1519,274,636,-402.36449999999996,1506,23.395934761500023,-13.2,0.8
2024,Value Qualifier,14138,2174,5676,-4978.831999999999,14049,-1132.0775890979996,-17.6,-4.0
2025,Big Weight Drop,8578,954,2689,-2326.7884999999997,8562,2042.1897409955002,-13.6,11.9
2025,Placed at Trip,1660,282,693,-420.436,1653,132.48419484600004,-12.7,4.0
2025,Value Qualifier,14444,2362,5830,-3966.3985,14380,750.7800954365003,-13.7,2.6
2026,Big Weight Drop,5739,592,1663,-2050.198,5739,658.3223039110002,-17.9,5.7
2026,Placed at Trip,1217,210,497,-432.6345,1217,-57.07137925799998,-17.8,-2.3
2026,Value Qualifier,10442,1700,4213,-3498.2075,10442,-57.591876666499694,-16.8,-0.3
